1:2,9,5,2,8,9,5,5,9,1,5,7,4,9,9,5,2,3,3,1,2,4,2,1,8,9,2,4,9,7
2:1,7,7,1,2,2,3,1,2,7,5,2,8,7,1,7,1,2,3,6,6,4,4,6,6,3,9,3,1,9
3:1,4,6,2,6,1,7,1,8,4,2,8,8,1,2,2,3,2,9,8,2,9,2,6,4,5,6,7,7,8
4:1,4,6,2,6,1,5,1,8,4,2,8,8,1,2,2,3,2,9,8,2,9,2,6,4,5,6,7,7,8
5:9,6,7,3,5,3,1,5,7,6,2,3,9,1,8,7,5,7,5,8,2,6,5,7,2,4,6,2,6,2
6:1,3,9,2,5,2,4,4,6,8,7,1,1,3,6,6,8,9,9,4,9,3,5,8,3,8,1,7,1,9
7:3,5,2,5,5,7,2,5,6,7,3,7,2,4,8,1,2,2,5,2,4,8,7,3,2,1,8,7,1,1
8:1,4,1,8,2,9,8,2,1,3,8,8,4,1,9,2,9,2,5,8,7,1,6,6,4,3,5,9,6,1
9:5,3,1,6,1,8,8,8,9,7,6,3,4,6,2,5,6,4,6,9,2,8,9,1,9,9,4,2,6,7
10:5,7,2,1,1,9,7,6,3,2,5,1,1,7,1,8,7,5,6,7,6,2,3,4,7,8,4,7,2,5
11:5,5,4,9,4,9,7,4,7,4,5,3,6,2,9,9,2,4,1,7,1,8,9,4,9,9,3,7,5,4
12:8,7,8,2,5,9,9,3,7,7,7,1,6,3,6,2,9,3,8,6,8,4,5,3,6,5,9,4,7,1
13:3,1,4,7,8,5,6,8,1,4,1,3,2,5,9,7,2,4,6,4,9,6,3,4,3,3,3,8,2,4
14:5,7,4,5,9,9,7,6,7,3,3,2,5,7,3,6,7,1,8,5,1,1,7,5,4,7,8,9,5,2
15:7,8,9,6,4,6,5,3,9,4,8,4,6,1,9,8,5,4,5,6,4,3,7,2,9,6,3,4,2,3
16:4,2,2,5,1,2,2,7,1,5,3,2,6,7,4,6,5,5,9,7,2,5,7,5,6,3,1,9,7,2
17:3,8,3,1,2,6,3,9,5,4,3,1,5,7,6,7,4,8,5,5,4,8,8,8,9,3,8,8,1,1
18:6,3,2,9,8,3,1,6,1,4,3,4,1,7,2,4,1,8,3,8,9,3,2,4,4,9,7,3,1,7
19:6,8,1,9,2,1,7,1,3,4,4,1,3,2,3,6,2,7,4,6,4,3,7,1,7,4,4,9,7,9
